name,longitude,latitude
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.044361,19.498028
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.250278,19.771
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-105.098,19.888917
P. benedetti,-104.878861,19.61925
P. benedetti,-104.878861,19.61925
P. benedetti,-104.878861,19.61925
P. benedetti,-104.878861,19.61925
P. benedetti,-104.878861,19.61925
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.802722,19.658917
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.518139,19.247167
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.766306,19.289806
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.932528,19.332889
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222
P. benedetti,-104.849972,19.611222